id,clase_construcion,clase_zonificacion,proximidad_calle,area_propiedad,acceso_carretera,acceso_callejon,forma_propiedad,nivelado_propiedad,tipo_servicios,tipo_solar,nivelado_solar,vecindarion,proximidad_ferrocarril,proximidad_ferrocarril2,tipo_propiedad,estilo_propiedad,calidad_material,condicion_general,anio_construcion,anio_remodelacion,tipo_techo,material_techo,cubierta_exterior,revestimiento_exterior,tipo_chapa,area_revestimiento,calidad_exterior,condicion_exterior,tipo_cimiento,calidad_sotano,condicion_sotano,exposicion_sotano,tipo_sotano1,area_asotano1,tipo_sotano2,area_sotano2,area_nosotano,area_sotano,tipo_calefacion,calidad_calefacion,tipo_aireAcond,tipo_electricidad,area_piso1,area_piso2,area_bajacalidad,area_habitableUp,n_baniosSotano,n_mitadBanioSotano,n_banios,n_medioBanio,BedroomAbvGr,KitchenAbvGr,calidad_cocina,n_habitacionesNoBanios,calificacion_domestica,n_chimeneas,calidad_chimeneas,tipo_garage,anio_garage,acabado_garage,area_garageCoches,area_garage,calidad_garage,condicion_garage,tipo_entrada,area_madera,area_porcheAbierto,area_porcheCerrado,area_tresEstaPorche,area_pantalla_porche,area_pisicina,calidad_piscina,calidad_cerca,caracteristicas_noCubiertas,valor_miscelanea,mes_vendido,anio_vendido,tipo_venta,condicion_venta,precio
1,NEWER,LD,65.0,8450,P,,0,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,TS,7,5,2003,2003,G,SS,VS,VINYLSD,BF,196.0,GD,2,PC,4.0,3.0,1.0,6.0,706.0,1.0,0.0,150.0,856.0,GASA,4,1,SBRKR,856,854,0,1710,1.0,0.0,2,1,3,1,GD,8,TYP,0,,ATTCH,2003.0,RFN,2.0,548.0,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008,WD,NORMAL,208500.0
2,NEWERSTYLES,LD,80.0,9600,P,,0,LVL,ALLPUB,FR,0,Veenker,FEEDR,NORMAL,SD,OS,6,8,1976,1976,G,SS,MS,METALSD,N,0.0,TA,2,CB,4.0,3.0,4.0,5.0,978.0,1.0,0.0,284.0,1262.0,GASA,4,1,SBRKR,1262,0,0,1262,0.0,1.0,2,0,3,1,TA,6,TYP,1,TA,ATTCH,1976.0,RFN,2.0,460.0,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007,WD,NORMAL,181500.0
3,NEWER,LD,68.0,11250,P,,1,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,TS,7,5,2001,2002,G,SS,VS,VINYLSD,BF,162.0,GD,2,PC,4.0,3.0,2.0,6.0,486.0,1.0,0.0,434.0,920.0,GASA,4,1,SBRKR,920,866,0,1786,1.0,0.0,2,1,3,1,GD,6,TYP,1,TA,ATTCH,2001.0,RFN,2.0,608.0,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008,WD,NORMAL,223500.0
4,OLDER,LD,60.0,9550,P,,1,LVL,ALLPUB,CORNER,0,Crawfor,NORNAM,NORMAL,SD,TS,7,5,1915,1970,G,SS,WS,WDSHING,N,0.0,TA,2,BT,3.0,4.0,1.0,5.0,216.0,1.0,0.0,540.0,756.0,GASA,3,1,SBRKR,961,756,0,1717,1.0,0.0,1,0,3,1,GD,7,TYP,1,GD,DETCH,1998.0,UNF,3.0,642.0,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006,WD,ABNORMAL,140000.0
5,NEWER,LD,84.0,14260,P,,1,LVL,ALLPUB,FR,0,NoRidge,NORNAM,NORMAL,SD,TS,8,5,2000,2000,G,SS,VS,VINYLSD,BF,350.0,GD,2,PC,4.0,3.0,3.0,6.0,655.0,1.0,0.0,490.0,1145.0,GASA,4,1,SBRKR,1145,1053,0,2198,1.0,0.0,2,1,4,1,GD,9,TYP,1,TA,ATTCH,2000.0,RFN,3.0,836.0,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008,WD,NORMAL,250000.0
6,FINISHEDAGES,LD,85.0,14115,P,,1,LVL,ALLPUB,INSIDE,0,Mitchel,NORNAM,NORMAL,SD,OHF,5,5,1993,1995,G,SS,VS,VINYLSD,N,0.0,TA,2,W,4.0,3.0,1.0,6.0,732.0,1.0,0.0,64.0,796.0,GASA,4,1,SBRKR,796,566,0,1362,1.0,0.0,1,1,1,1,TA,5,TYP,0,,ATTCH,1993.0,UNF,2.0,480.0,TA,TA,Y,40,30,0,320,0,0,,MNPRV,SHED,700,10,2009,WD,NORMAL,143000.0
7,NEWERSTYLES,LD,75.0,10084,P,,0,LVL,ALLPUB,INSIDE,0,Somerst,NORNAM,NORMAL,SD,OS,8,5,2004,2005,G,SS,VS,VINYLSD,S,186.0,GD,2,PC,5.0,3.0,3.0,6.0,1369.0,1.0,0.0,317.0,1686.0,GASA,4,1,SBRKR,1694,0,0,1694,1.0,0.0,2,0,3,1,GD,7,TYP,1,GD,ATTCH,2004.0,RFN,2.0,636.0,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,WD,NORMAL,307000.0
8,NEWER,LD,,10382,P,,1,LVL,ALLPUB,CORNER,0,NWAmes,POSN,NORMAL,SD,TS,7,6,1973,1973,G,SS,HB,HDBOARD,S,240.0,TA,2,CB,4.0,3.0,2.0,5.0,859.0,4.0,32.0,216.0,1107.0,GASA,4,1,SBRKR,1107,983,0,2090,1.0,0.0,2,1,3,1,TA,7,TYP,2,TA,ATTCH,1973.0,RFN,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,,,SHED,350,11,2009,WD,NORMAL,200000.0
9,FINISHEDAGES,MD,51.0,6120,P,,0,LVL,ALLPUB,INSIDE,0,OldTown,ARTERY,NORMAL,SD,OHF,7,5,1931,1950,G,SS,BF,WDSHING,N,0.0,TA,2,BT,3.0,3.0,1.0,1.0,0.0,1.0,0.0,952.0,952.0,GASA,3,1,FUSEF,1022,752,0,1774,0.0,0.0,2,0,2,2,TA,8,MIN,2,TA,DETCH,1931.0,UNF,2.0,468.0,FA,TA,Y,90,0,205,0,0,0,,,,0,4,2008,WD,ABNORMAL,129900.0
10,CONVERSION,LD,50.0,7420,P,,0,LVL,ALLPUB,CORNER,0,BrkSide,ARTERY,ARTERY,TC,OHU,5,6,1939,1950,G,SS,MS,METALSD,N,0.0,TA,2,BT,3.0,3.0,1.0,6.0,851.0,1.0,0.0,140.0,991.0,GASA,4,1,SBRKR,1077,0,0,1077,1.0,0.0,1,0,2,2,TA,5,TYP,2,TA,ATTCH,1939.0,RFN,1.0,205.0,GD,TA,Y,0,4,0,0,0,0,,,,0,1,2008,WD,NORMAL,118000.0
11,NEWERSTYLES,LD,70.0,11200,P,,0,LVL,ALLPUB,INSIDE,0,Sawyer,NORNAM,NORMAL,SD,OS,5,5,1965,1965,H,SS,HB,HDBOARD,N,0.0,TA,2,CB,3.0,3.0,1.0,3.0,906.0,1.0,0.0,134.0,1040.0,GASA,4,1,SBRKR,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,TYP,0,,DETCH,1965.0,UNF,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008,WD,NORMAL,129500.0
